match_id,date,venue,batter_id,batter,batting_team,bowling_team,runs,balls_faced,balls_to_milestone,fours,sixes,category
419137,2010-04-03,"MA Chidambaram Stadium, Chepauk",4b57e452,M Vijay,Chennai Super Kings,Rajasthan Royals,127,56,,8,11,most_sixes
1136565,2018-04-10,MA Chidambaram Stadium,bbd41817,AD Russell,Kolkata Knight Riders,Chennai Super Kings,88,36,,1,11,most_sixes
1136576,2018-04-19,Punjab Cricket Association IS Bindra Stadium,db584dad,CH Gayle,Kings XI Punjab,Sunrisers Hyderabad,104,63,,1,11,most_sixes
1473484,2025-04-28,"Sawai Mansingh Stadium, Jaipur",470f446b,V Suryavanshi,Rajasthan Royals,Gujarat Titans,101,38,,7,11,most_sixes
336018,2008-05-14,Wankhede Stadium,f233bbb4,ST Jayasuriya,Mumbai Indians,Chennai Super Kings,114,48,,9,11,most_sixes
1178399,2019-04-10,Wankhede Stadium,a757b0d8,KA Pollard,Mumbai Indians,Kings XI Punjab,83,31,,3,10,most_sixes
1370352,2023-05-26,"Narendra Modi Stadium, Ahmedabad",b4b99816,Shubman Gill,Gujarat Titans,Mumbai Indians,129,60,,7,10,most_sixes
1473464,2025-04-12,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",f29185a1,Abhishek Sharma,Sunrisers Hyderabad,Punjab Kings,141,55,,14,10,most_sixes
501206,2011-04-13,"Punjab Cricket Association Stadium, Mohali",25eeb281,PC Valthaty,Kings XI Punjab,Chennai Super Kings,120,63,,19,2,most_fours
829795,2015-05-10,Wankhede Stadium,c4487b84,AB de Villiers,Royal Challengers Bangalore,Mumbai Indians,133,59,,19,4,most_fours
419143,2010-04-07,Sawai Mansingh Stadium,11df3dc8,MJ Lumb,Rajasthan Royals,Kings XI Punjab,83,43,,16,2,most_fours
1529278,2026-04-25,"Arun Jaitley Stadium, Delhi",b17e2f24,KL Rahul,Delhi Capitals,Punjab Kings,152,67,,16,9,most_fours
548309,2012-04-06,Sawai Mansingh Stadium,29e95537,AM Rahane,Rajasthan Royals,Kings XI Punjab,98,66,,16,1,most_fours
1359516,2023-04-30,"Wankhede Stadium, Mumbai",6c19c6e5,YBK Jaiswal,Rajasthan Royals,Mumbai Indians,124,62,,16,8,most_fours
1359515,2023-04-30,"MA Chidambaram Stadium, Chepauk, Chennai",df5a6881,DP Conway,Chennai Super Kings,Punjab Kings,92,52,,16,1,most_fours
1136602,2018-05-10,Arun Jaitley Stadium,919a3be2,RR Pant,Delhi Daredevils,Sunrisers Hyderabad,128,63,,15,7,most_fours
548380,2012-05-25,"MA Chidambaram Stadium, Chepauk",4b57e452,M Vijay,Chennai Super Kings,Delhi Daredevils,113,58,,15,4,most_fours
729283,2014-04-18,Sheikh Zayed Stadium,b681e71e,GJ Maxwell,Kings XI Punjab,Chennai Super Kings,95,43,,15,2,most_fours
980921,2016-04-17,M Chinnaswamy Stadium,372455c4,Q de Kock,Delhi Daredevils,Royal Challengers Bangalore,108,51,,15,3,most_fours
1082640,2017-05-10,Green Park,85ec8e33,SS Iyer,Delhi Daredevils,Gujarat Lions,96,57,,15,2,most_fours
1535464,2026-05-29,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",b4b99816,Shubman Gill,Gujarat Titans,Rajasthan Royals,104,53,,15,3,most_fours
1527691,2026-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",a4cc73aa,SV Samson,Chennai Super Kings,Delhi Capitals,115,56,,15,4,most_fours
1216509,2020-10-17,Sharjah Cricket Stadium,0a476045,S Dhawan,Delhi Capitals,Chennai Super Kings,101,58,,14,1,most_fours
