player_id,photo_url
b0c772ee,https://commons.wikimedia.org/wiki/Special:FilePath/Brad%20Haddin%20at%20Test%202010.jpg?width=330
b57f8a9a,https://commons.wikimedia.org/wiki/Special:FilePath/Brad%20Hodge%202008.jpg?width=330
27af6414,https://commons.wikimedia.org/wiki/Special:FilePath/Ben%20Rohrer.jpg?width=330
5d1e7582,
9868bc75,
272d796e,
c2dd89ea,
f3171936,https://commons.wikimedia.org/wiki/Special:FilePath/Ben%20Hilfenhaus%202009.jpg?width=330
871e9faf,
c18496e1,
133bbd61,
172dff15,
fe366f34,
798934ea,
eaa76d3c,https://commons.wikimedia.org/wiki/Special:FilePath/Jermaine%20Blackwood%20batting%20and%20Cameron%20Green%20bowling%20at%20Perth%20Stadium%2C%20First%20Test%20Australia%20versus%20West%20Indies%2C%202%20December%202022%2004.jpg?width=330
2eeb4370,
af2c687b,https://commons.wikimedia.org/wiki/Special:FilePath/Colin%20Munro%20with%20the%20Sydney%20Sixers.jpg?width=330
f24ca2ba,
2cdce1be,
94d7f855,https://commons.wikimedia.org/wiki/Special:FilePath/2018.02.03.20.52.20-AUSvNZL%20T20%20NZL%20innings%2C%20SCG%20%2838618201470%29%20%28de%20Grandhomme%20cropped%29.jpg?width=330
c995d726,
45eda7c8,https://commons.wikimedia.org/wiki/Special:FilePath/Brisbane%20Heat%20vs%20Melbourne%20Stars%20T20%207.jpg?width=330
d4f9dbd4,https://commons.wikimedia.org/wiki/Special:FilePath/CHETESHWAR%20PUJARA%20%2816007168057%29.jpg?width=330
db584dad,https://commons.wikimedia.org/wiki/Special:FilePath/ChrisGayle%20Cropped.jpg?width=330
fb66ce1f,
8abdf100,
1cb14aa4,
9b4935c8,https://commons.wikimedia.org/wiki/Special:FilePath/Callum%20Ferguson.jpg?width=330
19b9f399,https://commons.wikimedia.org/wiki/Special:FilePath/Cricketer%20Chris%20Green%20Oran%20Park%2026%20October%202025.jpg?width=330
ffe699c0,https://commons.wikimedia.org/wiki/Special:FilePath/The%20Prime%20Minister%20welcomes%20the%20World%20Cup%20winning%20cricketers%20%2852764885608%29.jpg?width=330
94eac556,https://commons.wikimedia.org/wiki/Special:FilePath/Clint%20McKay.jpg?width=330
cfad138c,
d1c94b25,
d0513f63,https://commons.wikimedia.org/wiki/Special:FilePath/Cameron%20White.jpg?width=330
30a2649b,
e342e5fb,https://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Brathwaite.jpg?width=330
4c5d73db,https://commons.wikimedia.org/wiki/Special:FilePath/Chris%20Woakes%202022.jpg?width=330
342d8ade,https://commons.wikimedia.org/wiki/Special:FilePath/Dilhara%20Fernando.jpg?width=330
5b7ab5a9,
844e79d1,
f0af99a7,
8dc152d1,
94bc776b,
de7d833e,
2c25d4f5,
11614d87,
0264c10e,
aa8d28ae,https://commons.wikimedia.org/wiki/Special:FilePath/DAVID%20WIESE%20%2815702924581%29.jpg?width=330
d7a57f75,
d67d5f00,https://commons.wikimedia.org/wiki/Special:FilePath/DAVID%20MILLER%20%2815704846295%29.jpg?width=330
6c79c098,
dcce6f09,https://commons.wikimedia.org/wiki/Special:FilePath/David%20Warner.jpg?width=330
2e9fdf9b,
7050a1e7,
b720a5d6,
45c2196c,https://commons.wikimedia.org/wiki/Special:FilePath/Doug%20Bollinger.jpg?width=330
cd8d2859,
063b3673,
87e562a9,https://commons.wikimedia.org/wiki/Special:FilePath/Dwayne%20Bravo%202010.jpg?width=330
39f82db3,https://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Harris.jpg?width=330
73ad96ed,
fd835ab3,https://commons.wikimedia.org/wiki/Special:FilePath/David%20Hussey%202.jpg?width=330
a84468fe,
ad9c32a2,https://commons.wikimedia.org/wiki/Special:FilePath/Dawid%20Malan.jpg?width=330
eade4650,
2c76b512,
7d3937ed,https://commons.wikimedia.org/wiki/Special:FilePath/Dominic%20Thornley.jpg?width=330
7f048519,https://commons.wikimedia.org/wiki/Special:FilePath/David%20Willey%20%2851223172836%29.jpg?width=330
c03c6200,https://commons.wikimedia.org/wiki/Special:FilePath/DARREN%20SAMMY.jpg?width=330
1a156c88,https://commons.wikimedia.org/wiki/Special:FilePath/2018.02.03.20.04.13-AUSvNZL%20T20%20NZL%20innings%2C%20SCG%20%2825557959457%29.jpg?width=330
23eeb873,https://commons.wikimedia.org/wiki/Special:FilePath/Deepak%20Chahar.jpg?width=330
d7c6af50,https://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Vettori%2C%20Dunedin%2C%20NZ%2C%202009.jpg?width=330
14b14cd8,
e0351c86,
df5a6881,
c404f58a,https://commons.wikimedia.org/wiki/Special:FilePath/Dirk%20nannes.jpg?width=330
acd4f5dc,
d18f9182,https://commons.wikimedia.org/wiki/Special:FilePath/Mahela%20Jayawardene.jpg?width=330
69762509,https://commons.wikimedia.org/wiki/Special:FilePath/Damien%20martyn.jpg?width=330
caf69bf7,https://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Sams%20Batting.jpg?width=330
faa7365d,
35205dfc,https://commons.wikimedia.org/wiki/Special:FilePath/DWAYNE%20SMITH.jpg?width=330
d2a989fc,
53fe6ee4,https://commons.wikimedia.org/wiki/Special:FilePath/DARREN%20LEHMANN%20%2811705311686%29.jpg?width=330
13fc5c6d,
2a2e6343,https://commons.wikimedia.org/wiki/Special:FilePath/Daniel%20Christian.jpg?width=330
f48cf4da,
9e6032fa,
